,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Critical Cases,Total Cases per Million,Total Deaths per Million,Continent,Population
0,USA,32927352,587385,25521913,6818054,9863,99001,1766,North America,332595570
1,India,17997267,201187,14817371,2978709,8944,12937,145,Asia,1391123637
2,Brazil,14446541,395324,12992442,1058775,8318,67571,1849,South America,213798900
3,France,5534313,103603,4441986,988724,5943,84633,1584,Europe,65392188
4,Russia,4787273,109367,4411098,266808,2300,32793,749,Europe,145985907
5,Turkey,4710582,39057,4167263,504262,3549,55365,459,Asia,85082577
6,UK,4409631,127451,4202311,79869,227,64678,1869,Europe,68178729
7,Italy,3981512,119912,3413451,448149,2748,65931,1986,Europe,60388692
8,Spain,3496134,77855,3186967,231312,2331,74752,1665,Europe,46769666
9,Germany,3326778,82698,2954000,290080,5049,39603,984,Europe,84003996
10,Argentina,2905172,62599,2563223,279350,5134,63800,1375,South America,45535740
11,Colombia,2804881,72235,2616821,115825,6006,54647,1407,South America,51327231
12,Poland,2776927,66533,2473974,236420,2945,73439,1760,Europe,37812517
13,Iran,2459906,70966,1923081,465859,5338,28983,836,Asia,84873060
14,Mexico,2333126,215547,1856543,261036,4798,17941,1658,North America,130042652
15,Ukraine,2047838,43391,1616891,387556,177,47058,997,Europe,43517337
16,Peru,1775062,60416,1688091,26555,2642,53229,1812,South America,33347705
17,Indonesia,1657035,45116,1511417,100502,,6006,164,Asia,275893373
18,Czechia,1626033,29141,1542244,54648,676,151607,2717,Europe,10725307
19,South Africa,1577200,54237,1502986,19977,546,26321,905,Africa,59920897
20,Netherlands,1472674,17093,1235344,220237,814,85790,996,Europe,17166024
21,Canada,1194989,24065,1086611,84313,1355,31436,633,North America,38013456
22,Chile,1179772,26020,1113463,40289,3406,61284,1352,South America,19250741
23,Romania,1051779,27833,983040,40906,1325,54975,1455,Europe,19131962
24,Iraq,1045010,15348,920523,109139,539,25514,375,Asia,40958650
25,Philippines,1020495,17031,935695,67769,750,9212,154,Asia,110774857
26,Belgium,979034,24104,846692,108238,892,84174,2072,Europe,11631038
27,Sweden,960520,14000,782438,164082,392,94624,1379,Europe,10150939
28,Israel,838285,6361,830273,1651,132,91142,692,Asia,9197590
29,Portugal,834991,16970,794205,23816,86,82085,1668,Europe,10172241
30,Pakistan,810231,17530,704494,88207,5214,3611,78,Asia,224394761
31,Hungary,774399,27172,497084,250143,702,80330,2819,Europe,9640166
32,Bangladesh,754614,11305,672319,70990,,4545,68,Asia,166033991
33,Jordan,706355,8707,675212,22436,729,68671,846,Asia,10286143
34,Serbia,683799,6286,626756,50757,171,78522,722,Europe,8708398
35,Switzerland,656077,10602,586247,59228,246,75355,1218,Europe,8706538
36,Austria,614510,10152,580330,24028,516,67912,1122,Europe,9048573
37,Japan,571040,10004,508388,52648,916,4526,79,Asia,126157812
38,Lebanon,522763,7197,453865,61701,632,76874,1058,Asia,6800279
39,UAE,516301,1580,497140,17581,,51691,158,Asia,9988255
40,Morocco,509972,9005,496031,4936,201,13684,242,Africa,37268842
41,Saudi Arabia,414219,6922,397587,9710,1277,11748,196,Asia,35257261
42,Malaysia,401593,1477,373397,26719,306,12279,45,Asia,32705482
43,Bulgaria,401109,16182,332418,52509,714,58087,2343,Europe,6905341
44,Slovakia,381180,11611,361535,8034,335,69790,2126,Europe,5461816
45,Ecuador,375329,18389,318598,38342,614,21012,1029,South America,17862181
46,Panama,363533,6216,353503,3814,105,83182,1422,North America,4370310
47,Belarus,355924,2522,346148,7254,,37677,267,Europe,9446767
48,Greece,337723,10179,291153,36391,813,32532,981,Europe,10381131
49,Croatia,327737,7001,306132,14604,253,80241,1714,Europe,4084413
50,Azerbaijan,315119,4429,282786,27904,,30851,434,Asia,10214096
51,Kazakhstan,314082,3621,268439,42022,221,16565,191,Asia,18960630
52,Nepal,312699,3211,279279,30209,,10577,109,Asia,29564980
53,Georgia,307401,4077,288816,14508,,77181,1024,Asia,3982867
54,Tunisia,303584,10444,253058,40082,527,25469,876,Africa,11919946
55,Bolivia,300258,12885,247961,39412,71,25438,1092,South America,11803334
56,Palestine,293466,3201,267346,22919,140,56456,616,Asia,5198104
57,Paraguay,271814,6094,223606,42114,563,37730,846,South America,7204277
58,Kuwait,269681,1535,252888,15258,216,62394,355,Asia,4322236
59,Dominican Republic,265481,3462,222466,39553,185,24274,317,North America,10937056
60,Ethiopia,254044,3605,195547,54892,985,2166,31,Africa,117283988
61,Moldova,249714,5762,238423,5529,225,62021,1431,Europe,4026249
62,Denmark,248950,2479,236925,9546,36,42856,427,Europe,5808955
63,Ireland,247489,4884,230194,12411,45,49667,980,Europe,4982967
64,Lithuania,244555,3900,220565,20090,222,90881,1449,Europe,2690931
65,Costa Rica,243167,3186,201784,38197,340,47380,621,North America,5132250
66,Slovenia,238421,4236,224907,9278,155,114671,2037,Europe,2079173
67,Egypt,224517,13168,168665,42684,90,2161,127,Africa,103910846
68,Guatemala,223025,7453,199005,16567,5,12263,410,North America,18186285
69,Armenia,214872,4071,196289,14512,,72401,1372,Asia,2967794
70,Honduras,208356,5212,78127,125017,596,20766,519,North America,10033418
71,Qatar,203599,441,184712,18446,384,72512,157,Asia,2807805
72,Bosnia and Herzegovina,197378,8464,158160,30754,,60471,2593,Europe,3264008
73,Venezuela,193721,2082,176058,15581,322,6828,73,South America,28369636
74,Oman,192326,2001,171848,18477,275,36898,384,Asia,5212425
75,Uruguay,190096,2452,160632,27012,534,54569,704,South America,3483618
76,Libya,176701,3019,162188,11494,,25433,435,Africa,6947762
77,Bahrain,173548,626,162537,10385,101,99194,358,Asia,1749575
78,Nigeria,164912,2063,155012,7837,11,784,10,Africa,210302759
79,Kenya,157492,2665,106836,47991,205,2877,49,Africa,54737482
80,North Macedonia,151122,4742,130910,15470,124,72540,2276,Europe,2083304
81,Myanmar,142740,3207,131945,7588,,2609,59,Asia,54709058
82,Albania,130736,2383,107163,21190,18,45470,829,Europe,2875212
83,Algeria,121344,3225,84598,33521,20,2727,72,Africa,44497985
84,Estonia,121232,1148,109860,10224,57,91340,865,Europe,1327268
85,S. Korea,120673,1821,110248,8604,160,2352,35,Asia,51305454
86,Latvia,117099,2118,106353,8628,84,62653,1133,Europe,1868996
87,Norway,111686,736,88952,21998,40,20470,135,Europe,5456007
88,Cuba,103524,604,97462,5458,80,9144,53,North America,11320930
89,Sri Lanka,103487,655,94856,7976,,4816,30,Asia,21486973
90,Montenegro,96930,1478,92975,2477,69,154315,2353,Europe,628131
91,Kyrgyzstan,94599,1592,88658,4349,25,14307,241,Asia,6612191
92,Ghana,92464,779,90103,1582,8,2926,25,Africa,31602281
